Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,sentiment,clean_text,topic,keywords
108153,B007TJGY46,A1WB0GVRG6SF81,John P. Kirvin,0,0,5,1307923200,good coffee,"My favorite coffee it is bold but not over powering. i like this coffee and it is a joy to drink,one of the best k cup bolds out there. amazon good price and coffee people good product",positive,my favorite coffee it is bold but not over powering i like this coffee and it is a joy to drink one of the best k cup bolds out there amazon good price and coffee people good product,1,"coffee bold,favorite coffee,cup bolds"
237680,B002AQP3I6,A1BRYFMP9JN3CE,phyllis blaylock,0,0,5,1334534400,WANCHIA,THIS IS A VERY GOOD PRODUCT I LOVE IT AND WOULD LIKE TOO THANK YOU AGAIN.WOULD LOVE TO PURCHASE MORE PRODUCTS SIMLAR TO THIS.,positive,this is a very good product i love it and would like too thank you again would love to purchase more products simlar to this,6,"products simlar,product love,products"
538296,B0061IUIDY,A3GQSZ2RVVXDCZ,Jon Kreisler,0,0,3,1337212800,A Well Scented Tea,"The sign of a good Earl Grey tea is the use of real oil of bergamot, not just flavoring. Bergamot is a yellow citrus fruit, in the orange family, native to southern Italy. The fruit is considered inedible, however the oil extracted from the skin has been the foundation of the cologne industry for many, many years. Higgins & Burke Earl Grey is provided in individual, foil-wrapped tea bags. Open a pouch and you are immediately aware of the distinct aroma of bergamot.<br />Higgins & Burke chose asian black tea as the base for their Earl Grey. Unfortunately, the tea is almost dust and somewhat weak.<br />If you allow it to steep long enough, you can end up with a drinkable cup of Earl Grey. If they had chosen a better tea base, the beverage could be better.",neutral,the sign of a good earl grey tea is the use of real oil of bergamot not just flavoring bergamot is a yellow citrus fruit in the orange family native to southern italy the fruit is considered inedible however the oil extracted from the skin has been the foundation of the cologne industry for many many years higgins burke earl grey is provided in individual foil wrapped tea bags open a pouch and you are immediately aware of the distinct aroma of bergamot higgins burke chose asian black tea as the base for their earl grey unfortunately the tea is almost dust and somewhat weak if you allow it to steep long enough you can end up with a drinkable cup of earl grey if they had chosen a better tea base the beverage could be better,-1,"aroma bergamot,flavoring bergamot,oil bergamot"
167969,B001AHL6CI,A3PZ4AXTY9J1DZ,Jason Ralsky,5,5,5,1298851200,Subtle yet sweet tortilla adventure...,"What impresses me first off about this brand ""food should taste good"" is the fact it is an all natural brand.  They do not use preservatives, trans fats, they are gluten free, Certified Kosher, no Genetic modification etc.  What is even better about all that is it sacrifices all the unhealthy without sacrificing flavor.<br /><br />** CHOCOLATE TORTILLA ** (6oz bags) [5 stars]<br />These Tortilla chips I just had to try.. I mean chocolate Tortilla chips!?  Rather then getting an explosion of sweet sugary chocolate you get this nice, soft subtle taste of chocolate with each crunch of the chip.  These clearly aren't meant for salsa and in fact the back of the bag suggested  to sprinkle them in vanilla ice-cream or better yet... warm the chips up slightly to bring out the flavor.  Both suggestions worked great.  In fact I prefer these to chocolate chips in my ice cream and they probably are far healthier<br /><br />The chips are rectangular in shape and are delightful to eat.  They make for a perfect snack or to help enhance an existing snack; or satisfy the chocoholic in you<br /><br />Definitely a 5 star product with 5 star quality taste.<br /><br />** JALAPENO TORTILLA ** (1.5oz bags) [5 stars]<br />The Jalapeno tortilla chips are outstanding!  I'm a fan of spicy food so I had to test these out for myself.  The chips do not smell spicy at all which means they are spiced properly (not overloaded).  Upon first bite you might not taste much but that is when this chip gets you.  Very quickly a subtle jalapeno flavor kicks in with a bit of nice spice that isn't to overpowering.<br /><br />With the added kick of the chips these would go perfect with a nice mild salsa.  The chips are crispy and fresh, with that nice subtle spice lingering on your taste-buds for a good few minutes so a small 1.5oz bag will last you some time and allow you to savor the flavor.",positive,what impresses me first off about this brand food should taste good is the fact it is an all natural brand they do not use preservatives trans fats they are gluten free certified kosher no genetic modification etc what is even better about all that is it sacrifices all the unhealthy without sacrificing flavor chocolate tortilla oz bags stars these tortilla chips i just had to try i mean chocolate tortilla chips rather then getting an explosion of sweet sugary chocolate you get this nice soft subtle taste of chocolate with each crunch of the chip these clearly aren t meant for salsa and in fact the back of the bag suggested to sprinkle them in vanilla ice cream or better yet warm the chips up slightly to bring out the flavor both suggestions worked great in fact i prefer these to chocolate chips in my ice cream and they probably are far healthier the chips are rectangular in shape and are delightful to eat they make for a perfect snack or to help enhance an existing snack or satisfy the chocoholic in you definitely a star product with star quality taste jalapeno tortilla oz bags stars the jalapeno tortilla chips are outstanding i m a fan of spicy food so i had to test these out for myself the chips do not smell spicy at all which means they are spiced properly not overloaded upon first bite you might not taste much but that is when this chip gets you very quickly a subtle jalapeno flavor kicks in with a bit of nice spice that isn t to overpowering with the added kick of the chips these would go perfect with a nice mild salsa the chips are crispy and fresh with that nice subtle spice lingering on your taste buds for a good few minutes so a small oz bag will last you some time and allow you to savor the flavor,8,"tortilla chips,chocolate tortilla,salsa chips"
24473,B001E96JYC,A2O8Z4MX4I8WYT,M. Sharp,0,0,5,1303948800,Top 2 of the healthy choice options,"I seriously eat healthy choice fresh mixers/soups 4 or 5 days a week for lunch.  The sweet & sour chicken is in the top 2 of all of them.  Good flavor, lower sodium and a decent amount of food for a lunch.",positive,i seriously eat healthy choice fresh mixers soups or days a week for lunch the sweet sour chicken is in the top of all of them good flavor lower sodium and a decent amount of food for a lunch,19,"lower sodium,sodium decent,food lunch"
452157,B000FIWIWA,A297YMSYEPDX45,~Ariel~,14,14,5,1287014400,Pretty cool mints,"Ricochet Peppermints, 6pk of 100 pieces/1.48oz tins<br /><br />Ingredients: Xylitol, Natural Peppermint Oil, Natural Hibiscus Powder (no Gum Arabic as incorrectly stated in above description)<br /><br />This was my first time trying xylitol mints and I was not disappointed.  They are very sweet & refreshing.  They have a different sweetness than sugar, but it's not phony or sick tasting like some alternative sweeteners.  I was surprised that the mints are light purple, but it's a natural coloring from hibiscus flowers.  I do wish these mints were a little bigger.  They are .42grams/each and the size and shape remind me of Smarties candies.  They dissolve quickly, but that's probably because they're almost pure xylitol and have no added chemicals.  They also make a lot of dust, but I can put up with that for the great ingredients.  I was debating between these and Spry xylitol mints, but the Spry ones have calcium lactate and gum arabic.  Plus they're made in China and Ricochet are made in the USA.  The tins are convenient and have quotes on the inside lid, but some of the tins have loose latches.  Not a common problem, but one of the six didn't close as securely.  So if you have one that closes securely, you might want to save it.  Overall these are great mints and would be even better if they were bigger and available in more stores.<br /><br />If you're looking for a tasty xylitol gum try <a href=""http://www.amazon.com/gp/product/B00124VRPU"">Xyloburst Peppermint Xylitol Chewing Gum 100 Count</a><br /><br />***2012 UPDATE: I just bought another 6-pack & the mints have changed a bit, mostly improvements.  They are now bigger (increased from .42g to .5g) & they make less dust.  They are also more minty.  They are still purple, but the hibiscus powder ingredient has been replaced with ""natural coloring.""  Packaging looks different & they have given them the new name Xyla. The price was still the same, which is nice since the mints have increased in size. Still 100 mints/tin, but weight is 1.76oz rather than 1.48oz. Nutrition facts have remained the same (1 calorie/mint with .4g xylitol & .4g carbs).  Overall the mints are even better than before.  Taste even better & last a little bit longer.",positive,ricochet peppermints pk of pieces oz tins ingredients xylitol natural peppermint oil natural hibiscus powder no gum arabic as incorrectly stated in above description this was my first time trying xylitol mints and i was not disappointed they are very sweet refreshing they have a different sweetness than sugar but it s not phony or sick tasting like some alternative sweeteners i was surprised that the mints are light purple but it s a natural coloring from hibiscus flowers i do wish these mints were a little bigger they are grams each and the size and shape remind me of smarties candies they dissolve quickly but that s probably because they re almost pure xylitol and have no added chemicals they also make a lot of dust but i can put up with that for the great ingredients i was debating between these and spry xylitol mints but the spry ones have calcium lactate and gum arabic plus they re made in china and ricochet are made in the usa the tins are convenient and have quotes on the inside lid but some of the tins have loose latches not a common problem but one of the six didn t close as securely so if you have one that closes securely you might want to save it overall these are great mints and would be even better if they were bigger and available in more stores if you re looking for a tasty xylitol gum try xyloburst peppermint xylitol chewing gum count update i just bought another pack the mints have changed a bit mostly improvements they are now bigger increased from g to g they make less dust they are also more minty they are still purple but the hibiscus powder ingredient has been replaced with natural coloring packaging looks different they have given them the new name xyla the price was still the same which is nice since the mints have increased in size still mints tin but weight is oz rather than oz nutrition facts have remained the same calorie mint with g xylitol g carbs overall the mints are even better than before taste even better last a little bit longer,-1,"xylitol mints,mint xylitol,mints better"
273651,B001EQ5MZW,A5NC3L6UMLY1P,B. Davis,1,1,2,1277337600,Just OK,"I bought this tea after purchasing the same blend at our local tea store, so had the opportunity to compare the two side by side.  Here's my take:  Before brewing, my local tea store's Cassis/Black Currant clearly had significantly more flavor, smelled fresher, and had much longer tea leaves than did the SerendipiTea brand.  It also seemed to smell like it also had more ""notes"" and was a more complex and aromatic blend than the one from SerendipiTea, which by contrast looked and smelled a little faded and stale.  After brewing, the SerendipiTea was more bitter and dark in color (more intense).  In the future I will pay more for the local one because it is so much better.  Probably comes out to another dime per glass of tea, but for me that is well worth it.  The  SerendipiTea is cheaper, it does make a reasonably good tea, but the other is simply more enjoyable to drink, much more mellow and far less bitter.",negative,i bought this tea after purchasing the same blend at our local tea store so had the opportunity to compare the two side by side here s my take before brewing my local tea store s cassis black currant clearly had significantly more flavor smelled fresher and had much longer tea leaves than did the serendipitea brand it also seemed to smell like it also had more notes and was a more complex and aromatic blend than the one from serendipitea which by contrast looked and smelled a little faded and stale after brewing the serendipitea was more bitter and dark in color more intense in the future i will pay more for the local one because it is so much better probably comes out to another dime per glass of tea but for me that is well worth it the serendipitea is cheaper it does make a reasonably good tea but the other is simply more enjoyable to drink much more mellow and far less bitter,2,"serendipitea cheaper,brewing serendipitea,serendipitea bitter"
22268,B000KV61FC,A2R8SIMZEMAH9E,slomobile,2,2,4,1257033600,Good Toy...,"We have a JRT Mix and he is too smart for his own good.  The first time we used this 'puzzle' toy it took him about 45 mins to get to the end.  By the third time he had figured the most efficient way to get food to fall out and he now employs that same technique to finish off a scoop of kibble in about 10 mins.  He really enjoys focusing on this task for the 10 mins, as the JRT is an obsessive breed anyhow.  It gives him a good job to work on.  I recommend this simple toy as we have seen good results and it performs exactly as advertised.  Durability is good, our guy is tough on toys, but if you give it to him with food in it and then remove it from him when complete, there are no issues.",positive,we have a jrt mix and he is too smart for his own good the first time we used this puzzle toy it took him about mins to get to the end by the third time he had figured the most efficient way to get food to fall out and he now employs that same technique to finish off a scoop of kibble in about mins he really enjoys focusing on this task for the mins as the jrt is an obsessive breed anyhow it gives him a good job to work on i recommend this simple toy as we have seen good results and it performs exactly as advertised durability is good our guy is tough on toys but if you give it to him with food in it and then remove it from him when complete there are no issues,0,"toys food,puzzle toy,simple toy"
126089,B001E5E2GS,A2P96PBCN7SQK4,jasmine,0,0,5,1350172800,ms,"This is the best pasta I have found, My whole family loves it.  I use all oF Schar's corn pasts for all my Italian recipes.",positive,this is the best pasta i have found my whole family loves it i use all of schar s corn pasts for all my italian recipes,15,"best pasta,italian recipes,pasta family"
70322,B007I7Z3Z0,A1LJR5IS0B6ADX,"The Straw Man ""J.E. Hoppock""",1,1,4,1336003200,"A nice, smooth drink.  Very refreshing","This is the second green tea drink stick blend I have tried from Lipton, the first being the ""<a href=""http://www.amazon.com/gp/product/B007QH41OG"">Lipton To Go Stix Decaf Iced Green Tea Mix, Tea and Honey, Strawberry Acai, 10-Count (1 Box)</a>"".  Mango Pineapple Green Tea is the flavor mixture in question.  I must say that the taste is really good and all the key ingredients shine through.  In other words, I can taste green tea, mango, pineapple and even a touch of honey, yet none of the flavors are too over bearing.<br /><br />These drink sticks (10 in a box) are 5 calories a serving and taste like they are much higher in calories. It took me a little extra effort to mix the powder into the water, but nevertheless the powder dissolved.  I must say there is a slight, slight aftertaste.  It isn't bad per se but it is worth noting.  I didn't find it to be a big deal or would prevent me from purchasing in the future, yet it should be noted.<br /><br />I believe that Lipton has stepped their game up with these drink mixes and I love the idea that green tea is being utilized.  Green tea is underrated so it is nice that it is being promoted more.",positive,this is the second green tea drink stick blend i have tried from lipton the first being the lipton to go stix decaf iced green tea mix tea and honey strawberry acai count box mango pineapple green tea is the flavor mixture in question i must say that the taste is really good and all the key ingredients shine through in other words i can taste green tea mango pineapple and even a touch of honey yet none of the flavors are too over bearing these drink sticks in a box are calories a serving and taste like they are much higher in calories it took me a little extra effort to mix the powder into the water but nevertheless the powder dissolved i must say there is a slight slight aftertaste it isn t bad per se but it is worth noting i didn t find it to be a big deal or would prevent me from purchasing in the future yet it should be noted i believe that lipton has stepped their game up with these drink mixes and i love the idea that green tea is being utilized green tea is underrated so it is nice that it is being promoted more,-1,"green tea,tea flavor,tea mix"
275160,B000MIDRNW,A3SFVLXLPDPXHZ,slfcritterdoc,0,0,5,1323475200,Treat your college student!,"Great product in easy to reheat packaging. I send these to my college daughter and they are always a hit on her dorm floor, especially for late night study sessions! Free shipping with Prime an added bonus! Thanks Amazon for making Mom a hero!",positive,great product in easy to reheat packaging i send these to my college daughter and they are always a hit on her dorm floor especially for late night study sessions free shipping with prime an added bonus thanks amazon for making mom a hero,-1,"reheat packaging,easy reheat,reheat"
342839,B000ET4SM8,A1OYMUZ0EJPC7B,S. Smith,1,1,5,1283817600,Great buy and excellent customer service,My first package got tied up in the mail somewhere.  The seller immediatel shipped another package out to me.  The beans are high quality.  I would definitely purchase this product again.,positive,my first package got tied up in the mail somewhere the seller immediatel shipped another package out to me the beans are high quality i would definitely purchase this product again,-1,"package beans,beans high,beans"
424829,B0041CIP3M,A2H4AWIOK1REMX,"J. C Clark ""eanna""",0,0,3,1329350400,Satisfactory but hardly amazing,"Caveat: As a vegetarian, I ate this dish prepared with tofu rather than beef. Maybe that mattered more with this sauce than it would with others. But it was OK, without any special or redeeming qualities. The preparation was certainly easy, though that 4/5 of a cup of water (with the instruction printed in 2 point type) stumped me...what measuring cup comes in fifths? I got out a magnifying glass to be sure that's what they wanted. But the flavor just didn't punch as I thought it should, and there was a vague chemical flavor way in the back that left me unimpressed. A bit of tang and hot, but I've had better mixes and far better sauces. Shared with my son and grandson, and their feelings were the same.",neutral,caveat as a vegetarian i ate this dish prepared with tofu rather than beef maybe that mattered more with this sauce than it would with others but it was ok without any special or redeeming qualities the preparation was certainly easy though that of a cup of water with the instruction printed in point type stumped me what measuring cup comes in fifths i got out a magnifying glass to be sure that s what they wanted but the flavor just didn t punch as i thought it should and there was a vague chemical flavor way in the back that left me unimpressed a bit of tang and hot but i ve had better mixes and far better sauces shared with my son and grandson and their feelings were the same,4,"tofu beef,prepared tofu,mattered sauce"
224384,B004IJFZ54,AM5SR2FJ6QA84,"R. Edwards ""quality and value sleuth""",0,0,5,1337126400,DELICIOUS!,"I purchased these because of the outstanding reviews. I needed some cute, yummy animal cookies for my nieces baby shower. I was making a banana pudding in my trifle dish and wanted little animal cookies to march around the edge and show through the bowl. Well, I am happy to say it worked and these were yummy! I had quite a few bags left and my husband and I thoroughly enjoyed them! He is now asking for more. LOL So I am going to try some of the other flavors.",positive,i purchased these because of the outstanding reviews i needed some cute yummy animal cookies for my nieces baby shower i was making a banana pudding in my trifle dish and wanted little animal cookies to march around the edge and show through the bowl well i am happy to say it worked and these were yummy i had quite a few bags left and my husband and i thoroughly enjoyed them he is now asking for more lol so i am going to try some of the other flavors,10,"animal cookies,try flavors,cookies nieces"
437766,B005A1LGIY,AJ2PPTWZ0IIJS,G. BARTO,1,1,3,1322265600,More like Apple than Appletini,"When you mix this up, you get a neon green drink that suggests something wild. But when you drink it, there's just a mild apple flavor. The Margarita Mocktail, though not exactly a margarita, had more zip than this does. If you're looking for a lo-cal apple drink, this is a good enough option and the color is interesting. But if it's the ""mocktail"" part that intrigues you, the margarita mocktail is a better pick.",neutral,when you mix this up you get a neon green drink that suggests something wild but when you drink it there s just a mild apple flavor the margarita mocktail though not exactly a margarita had more zip than this does if you re looking for a lo cal apple drink this is a good enough option and the color is interesting but if it s the mocktail part that intrigues you the margarita mocktail is a better pick,3,"flavor margarita,margarita mocktail,margarita"
93984,B0002DGRPC,A2QXPFTACXWV1I,Ellie at Round Pond,0,0,5,1302825600,Liver treats,My dog is not enthusiastic about food.  She enjoys these treats which are light weight and easy to carry.  Number of treats per day must be limited.,positive,my dog is not enthusiastic about food she enjoys these treats which are light weight and easy to carry number of treats per day must be limited,0,"enjoys treats,treats,food enjoys"
446356,B004NC9G9M,A29D0FVW8TUMUQ,Vass,0,0,5,1325635200,Delicious,This is by far the best tea I've ever tasted.  I love the blend it as and it is very light.  Anyone I had taste it really likes it.,positive,this is by far the best tea i ve ever tasted i love the blend it as and it is very light anyone i had taste it really likes it,2,"best tea,tea,tea ve"
419520,B0029ZAOW8,A11S340ZGE1QZ,bobby7037,0,0,5,1345075200,Just fantastic,"I ordered the 5 hour energy drink,<a href=""http://www.amazon.com/gp/product/B0029ZAOW8"">5-Hour Energy -  Berry 1.93-Ounce Packages (Pack of 12)</a> the order process is so simple, I think 3 clicks and done. the product was promptly dispached and I received it a few days later. Just fantastic",positive,i ordered the hour energy drink hour energy berry ounce packages pack of the order process is so simple i think clicks and done the product was promptly dispached and i received it a few days later just fantastic,6,"ordered hour,pack order,energy drink"
546879,B000XEAWNS,ALYX2MEA5C320,uta cantrell,0,0,5,1291075200,Dingo bones are  the best,"My dog loves dingo bones, she will not eat any other rawhidebones.Wish they could be a little cheaper but my dog is worth it.",positive,my dog loves dingo bones she will not eat any other rawhidebones wish they could be a little cheaper but my dog is worth it,0,"eat rawhidebones,rawhidebones,rawhidebones wish"
427984,B003KRHDMI,APU05R8XI38D8,Smokey Stout,3,11,4,1312502400,Holds K-Kups,This is great for holding K-Kups. Not so good for washing your cat with. That's why I gave it 4 stars instead of 5,positive,this is great for holding k kups not so good for washing your cat with that s why i gave it stars instead of,1,"holding kups,washing cat,kups good"
