text,actual,predicted,transformer_pred,transformer_correct
tastes like blueberry muffin and coffee without the muffin my opinion is that its better than green mountain coffee golden french toast count k cups for keurig brewers but not as good as green mountain coffee caramel vanilla cream count k cups for keurig brewers it s all a matter of opinion and all of these green mountain flavored coffees are mild with artificial flavors it boils down to would you rather have a blueberry muffin or french toast drenched with maple syrup with your coffee try em all and pick your favorite is my suggestion also check out the other flavors to see which is lower priced and take turns,positive,negative,negative,False
the chips are over a month away from the expiration date and they taste stale not much flavor i was disappointed wondering if i should bother returning them,neutral,negative,negative,False
my dog cotton is an aggressive chewer she could chew her way through anything within seconds then she s looking for something else to chew she s a yr old coton de tulear a rare breed which are in the bichon family my dog is very hyper has nervous energy she doesn t know what to do with i thought getting her a chew toy would keep her busy for a while but they didn t even last for a day i went on line and read reviews from other s reviews on different chew toys when i read the reviews for this dinosaur chew and read their had the same issues my dog had and their dogs were a lot bigger weighed more then my dog is small weighs lbs i thought this chew would be a perfect chew toy it would last for a longer period it has lasted she is still chewing on it after months this is going to be a second dinosaur chew i am buying for her as a backup she loves this toy and i would recommend this for those pet owners who have dogs who are heavy aggressive chewers this will last a long time i love it and i save money no longer need to buy any other chew toy but this dinosaur chew suzan mesquite nv,positive,negative,negative,False
package arrived in time i was expecting the salt to be finely ground which to me means something powdery the salt was more like rock salt the crystals being slightly larger than what you find in kosher salt i have to dilute it with water before i can consume it if you sprinkle it on a salad or similar semi dry food you will feel the crystals which is an unpleasant experience because it feels like you have sand in your food this salt is not like regular salt that dissolves easily with little moisture liquid the package it is in is also labeled finely ground i use it for cooking where i have no problems with it the three stars are only because the salt was not what i would consider finely ground,neutral,positive,negative,False
i like my coffee dark and rich except for my first cup in the morning when i prefer a milder blend after taste testing a variety of different k cup dark roasts including green mountain extra bold dark magic gloria jeans extra bold black gold green mountain eb espresso blend and timothy s eb parisian nights timothy s midnight magic extra bold stands well above the rest it is made from specialty grade certified kosher arabica coffee beans so the box says what really matters is how the taste fits the description and this java is bold dark rich and exceptional with just a touch of sweet not at all bitter or acidic i brew it on the smaller size setting for a deeper taste so if you have a keurig single serve coffee maker and your taste is similar to mine timothy s midnight magic extra bold is the brew for you i know it s my favorite jana perskie,positive,neutral,positive,True
after trying these from the airline i am addicted they smell like baked blueberries and taste like crunchy blueberry muffins,positive,negative,negative,False
i realy injoyed the tast of these kippers better then other s i also injoyed the texture of the fish i will recomend to frind s,positive,neutral,positive,True
the picture is almost actual size quality mackerel but mostly sauce and i m not kidding about the size about equivalent to a can of sardines,positive,negative,negative,False
my kids love this the first time i fed it to them they asked for another pouch one is very picky and both hate veggies they are yr old twins and eat big kid meals but i love the portability of this pouch and it makes a great nutritious snack to take on the go i especially love that it is organic i want to note that i did not buy this product on amazon i found it at target for cents each i thought i could find it on amazon in bulk for less but instead it cost almost times more i ll buy it at target instead unless that changes,positive,negative,positive,True
xylitol is fantastic for dental health this gum is great because it doesn t contain any of the less than ideal additives like aspartame nutrasweet saccharin sorbitol mannitol artificial flavors artificial colors etc that make most other gums and mints even those with xylitol as an ingredient problematic the flavor is nice the texture is fine and it lasts for at least minutes which is all i want it to do note that this gum is manufactured in finland and the xylitol is sourced from birch wood also it s non gmo not genetically modified which is not the case with some other brands of xylitol products which source their xylitol from china and or from corn i wish that this gum could be purchased in smaller amounts because the price for this company s giant containers packs is quite a lot of money to spend on something you ve never tried before i m sure more people would give them a try if they packaged this in one piece portable little cardboard box and sold it as an add on product at amazon for dollars or something just so folks could try it out,positive,neutral,positive,True
this gluten free cereal is pretty good it has a maple taste but it s not something i would eat every morning somehow this cereal didn t really taste that good to me but you might like it so that s why i gave it four stars,positive,neutral,positive,True
i liked the idea of a grab and go type lunch or snack so decided to give this a try however it sat on the shelf for over a month before actually giving it a go i was nervous that i wouldn t like it so kept putting it off it was the only flavor available when i decided to give it a try well my worry was founded as i did not care for it at all the salmon spread was super fishy i love salmon and the fresher it is the lighter more delicate the taste this hits you over the head with fishiness the crackers were your basic ritz type crackers and were as expected there was a granola ish mix of fruits and nuts that was okay but seemed sugar sweetened the dried edamame were indeed dry and not very flavorful all in all the best item was the little chocolate squares for dessert but even that wasn t anything i d purposely seek out when shopping perhaps the other gopicnic meals are better and i was just turned off by the fishiness of this one i would consider trying a different flavor before completely writing off these little meal packs and suggest that anyone else considering these meals does so as well unless you like a strong fishy taste summary great idea salmon is super fishy try a different flavor meal pack if considering gopicnic or just pass it up all together,negative,neutral,negative,True
benecol chews were recommended to me by my endocrinologist because i do not tolerate the statin medications i haven t had a re check on my lipid profile since i started taking them so i don t know if they work yet or not they are tasty easy to take and i sure hope they work benecol smart chews caramel count soft chews,neutral,positive,positive,False
always purchase this coffee at the supermarket very flavorful strong enough to satisfy the taste its better than starbucks coffee which is very strong,positive,neutral,positive,True
i love all of the blue diamond almond flavors and they are my favorite snack this one while good was not great for me when i hear the word bold i expect something over the top and this one was just sort of medium it seems that they aimed for the middle of the road when it comes to being a spicy flavor we have buffalo wing restaurants here that offer about grades of spiciness from hot to death and this wasn t even close if i compare this to the blue diamond wasabi soy spiciness it is not even in the same galaxy this is still a good flavor but not what i was expecting one serving of these nuts is calories and it contains grams of protein grams of carbohydrates grams of fiber and only gram of sugar and gram of saturated fat you also get calcium vitamin e and magnesium from the almonds which are good for your body heart and bones i would rather eat of these almonds for calories than potato chips for the same calories and none of the dietary benefits this flavor does have of your daily intake of sodium which is almost twice the amount in many of the other blue diamond flavors it has even more salt than the bold salt n vinegar flavor for that reason i will eat this flavor more sparingly the only problem with these almonds is that they taste so good you have to be able to close the can and walk away if you don t like the super bold and spicy flavors then this flavor is ideal for you just watch the salt i like all of the blue diamond almond products as i feel that they are healthier for you as long as you don t overdo it in eating them since they have a more moderate flavor than what i was expecting for a bold product and contain so much salt i gave it stars i eat these almonds because they taste good and are healthier for you but the extra salt in this one negates some of the health benefits in my opinion this is still a good flavor and i like them but not love them,positive,neutral,negative,False
the amazon com description does not list ingredients and two of the reviews were confusing in this regard one indicating that the product contains sugar and the other mentioning cranberry juice not blueberry i checked the website and it stated that the product is made from blueberry concentrate,positive,negative,negative,False
i was going to purchase this until i saw that it has soy lecithin in it soy is estrogenic and soy lecithin in particular is like the crap they scrape off the floor they pump it into everything and is not good for you why is it so hard to find food without this crap in it especially in food that is supposed to be good for you because it is organic,negative,neutral,negative,True
i ve been drinking using the fresh goat s milk for years i ve recently bought the dry milk meyenberg powdered goat milk vitamin d ounce cans pack of in hope of saving a little money it does taste a little powdery i can t drink it straight where i used to with the fresh i noticed on the amazon page where it says customers who bought this also bought evaporated goat s milk meyenberg evaporated goat milk ounce cans pack of i m wondering if this makes it creamier or taste better i hope to get some feedback from those who have tried combining the two and what quantity of dry to what quantity of evaporated i m trying not to give up on the dry yet thank you vicki,neutral,negative,negative,False
came in the mail over night the fruit was still very fresh the wife enjoyed them very much so she was surprised to see them after not eating them for years but it is kinda pricy to order the only down fall,neutral,positive,positive,False
after reading the review about the change of ingredients i contacted holistic select to double check the information and they clearly state that there are no pork products in this food the only change they made was to add canola oil as a secondary fat source here is the list of ingredients that they sent to me anchovy sardine salmon meal oatmeal ground brown rice ground white rice canola oil preserved with natural mixed tocopherols dried beet pulp menhaden fish oil flaxseed dried egg product carrots sun cured alfalfa peas potassium chloride organic quinoa apples blueberries cranberries dried kelp yucca schidigera extract dl methionine vitamins beta carotene vitamin a supplement vitamin d supplement vitamin e supplement riboflavin supplement vitamin b supplement d calcium pantothenate niacin supplement pyridoxine hydrochloride thiamine mononitrate folic acid ascorbic acid vitamin c biotin minerals polysaccharide complexes of zinc iron manganese and copper cobalt carbonate potassium iodate sodium selenite choline chloride lecithin rosemary extract glucosamine hydrochloride inulin dried lactobacillus acidophilus lactobacillus casei enterococcus faecium bacillus subtilis bacillus licheniformis aspergillus oryzae and aspergillus ni ger fermentation products mixed tocopherols a natural preservative holistic select radiant adult health anchovy sardine and salmon dry dog food pound bag,positive,neutral,negative,False
if you like a strong taste in your coffee dark magic is for you i ordered box and will be ordering it again,positive,negative,positive,True
the barbeque flavor of these pretzel pieces is tangy to me not sweet honey smokey or even hot i am not a big fan of tangy buffalo wings but i am a fan of these tangy pieces be warned there are plenty of big pieces but there are also a lot of crumb pieces stars,positive,neutral,positive,True
since i bought my keurig i felt the coffee wasn t as rich as coffee you slow brew i bought starbucks caribou and many other brands it wasn t that i dislike the coffee but i did not get the same satiisfaction the first cup of the french roast i really felt it had such a good flavor i m hoping they start selling more flavors,positive,neutral,positive,True
the illy issimo cappucino coffee drink is a well made medium body and moderate calorie drink it s produced in denmark and imported it has calories and grams of fat in an ounce drink a bottled starbucks coffee frappucino has calories and grams of fat and it s slightly larger at ounces so the illy drink offers a lighter alternative if that s what you re seeking personally i prefer a stronger coffee flavor and am not as concerned about the calories for a pick me up i often want some calories as well as caffeine i found the illy drink pleasant and it s probably right for some but most of the time i d probably buy something else the label mentions that it has cocoa so i was looking for the flavor but it didn t seem to me to have much if any cocoa flavor since i don t really want that in a cappucino drink anyway that s actually a plus but if you re looking for a mocha flavor try something else,positive,neutral,positive,True
i though i would be good i am french and le rougie is not the best but a quality brand i wanted to test it before my christmas party a good thing i did the box we received was tasteless i prefer duck foie gras to goose because duck has a stronger taste compared to goose wich is more subtile so i was so disappointed in the end i ordered a whole duck fois gras made in usa,negative,neutral,negative,True
service prompt had to pay to send incorrect order back disappointed in product not all flavors in box as described,positive,negative,negative,False
ok now i understand why so many people online recommend using americolor brand for my icing and fondant coloring needs i bought the black and the color was super strong worked really well i ll probably buy one of their color kits now that i know it s a great brand the only thing i haven t tried yet is using it to color melted chocolate i ve been told that water based dyes like this one will make the chocolate crumble but shrug it doesn t hurt to try i will give an update when i do,positive,neutral,negative,False
i have bought from this company before there is a major change in the size of their containers the description states packed in large containers for instance garlic powder granulated the last container was also large and rightfully so as it was oz today i ordered the same product and the picture caused it to look like a large container but it only had oz of the item you would not know the difference just by looking at the pics this is all true for many of the product i purchased not a good thing to mislead consumers like this,neutral,negative,negative,False
one package contains thin layers of sesame crackers little too sweet but sugar is not the first ingredient for weight watchers each package is points,positive,neutral,negative,False
this gum tastes very good much better than the trident layers strawberry tangy citrus version in my opinion that flavor has too much tang and not enough sweet for me the cherry lime version has less tang more sweet yum trident layers gums in general don t get tough or rubbery but rather stay soft for a long time i also like the size of each piece just the right size in my opinion for comparison trident tropical twist pieces are a little too small although i like the flavor of that gum also note that i am a grown adult female with a child sized mouth who must use small sized tooth brushes trident layers gums are also individually wrapped in a foil wrapper other trident gums like tropical twist are wrapped in a thin waxy paper i wish the flavor of trident layers cherry lime lasted longer it lasts longer than some but i think trident tropical twist flavor lasts a little longer in spite of their smaller size i also like the sturdy wallet style packaging it provides very convenient access while protecting the gum from other things floating about in a drawer pocket or purse and it probably helps keep the pack fresh longer after removing the plastic wrapping too other gums produced by trident lack the wallet packaging even new ones like trident tropical twist that i mentioned above with the current competitive pricing by amazon shouldn t be much more than a dollar a pack else wait a few days because the price fluctuates there s nothing to complain about here it s all good stars edit beware of the exp date i bought a pack from a local store with an exp date of june and the gum was already stale,positive,neutral,neutral,False
the kitchens of india items came promptly and tasted sooooo delicious i first was given one pack by a friend who said he purchased on amazon com after trying it i knew this was something i had to get i now have two packs and will definitely be ordering more when they are gone,positive,negative,positive,True
i have two boys well first we had one he was a little panther zipping and yowling around our house and would anything especially bagels i still can t keep bagels in my house then we decided he need a playmate that s when we came across octavious or silky as his current human called him and he was silky such much so in comparison our first cat felt like velcro when petted we couldn t afford science diet and they seemed to hate the plain taste of it we started mixing the good life with it and we have noticed more energy more love from them and softer shiny coats less itchiness too yes it has corn but guess what so does half the things you eat i am not concerned on wheat corn debate as my cat goes after my bread my bagels or anything tasting like wheat,positive,negative,negative,False
all three of my dogs get very excited about these even my one super finicky dog the bag says they are made in the usa compared to other similar dog chews treats on the market these seem like a pretty good value to me,positive,neutral,positive,True
great tasting and crunchy tastes like the real thing good packaging to keep fresh i will buy more in the future,positive,neutral,positive,True
absolutely the way to go if you re cutting refined sugar low glycemic index tastes like sugar great for diabetics,positive,negative,positive,True
great tasting crunchy snack the touch of cocoa is not too sweet and one serving definitely ease your hunger till the next meal i much prefer this over granola bars,positive,neutral,positive,True
i have a special sauce i make and have tried others but none have even come close to giving me the taste of mesquite this does not to much and not to little doing something right when i make the ribs they are gone faster than i can put them out,positive,neutral,negative,False
i m confused by the label but have yet to try the oil to see if it s genuine or not i will update after trying it,neutral,negative,negative,False
when i ordered this product i was too lazy to convert mm to inches and consequently discovered the coarse grinder salt was almost to be exact way too coarse for my salt grinder shortly after receiving my order from amazon i received a courtesy email from the spice lab to make sure i was happy with my order i replied that actually i was not happy but the fault was mine because i didn t convert the metric dimensions to english units and consequently didn t realize how coarse the salt would be which was too coarse for my salt mill two days later i received a package of smaller crystals no charge that s amazing customer service,positive,negative,negative,False
i haven t been able to find these locally so we ordered a case from amazon we weren t disappointed our only complaint is that there could be more dried berries instead you get mostly apples which are good but not quite as exciting,positive,negative,negative,False
i bought this as a substitute to the gravy mix i did use bought at sams club that had monsodium glutenage in it i used it spread on top of roast when cooked in a dutch oven the hain pure foods vegetarian brown gravy mix was a good substitute i recommend it,positive,negative,positive,True
i have been making wine for several years and purchased mainly wine expert kits i ordered one of these to try after making the barlo kit this kit suprised me on how it turned out granted its not a bottle of wine but it is enjoyable my son thinks this is the best one i have made yet after looking at the reviews i ordered a chardonnay to try also,positive,negative,positive,True
ok i was real skeptical on trying anybodys rub but i kept seeing this name come up time and time again on the bbq competitions i was seeing on tv so i google it and got it i went to my local grocery store first and got the little bottle but it went so fast i had to get a bigger one what a difference it makes to have a solid rub you can use on anything you cook i use bbbr on almost all of my meat it s a great base to any real cooks rub i use it along with some other ingrediants i normally use and it s the real deal the name says it all byron is one bad dude if you are thinking about trying a rub other than your own then start with this one you won t be disaapointed,positive,neutral,positive,True
my friend denna adopted her sheltie from us at sheltie rescue of utah i was over her house the other day i had brought some of z chews to share with her boy duke she immediately told me that duke doesn t like any chewies and she s tried a whole bunch he just leaves them laying around i said well i ve got them here it s a premium product with outstanding ingredients so let s just see what happens when we offer him one you know the end of this story duke at first sniffed suspiciously but then ate the zuke s z chew denna stood there like she was in shock so we found a chewie treat that duke likes and it s really good for him too yeah i m really sorry that someone else s dog threw up the pieces if that happened soon after eating the z chew then there was no time for anything to get digested everybody s stomach is different human or canine,positive,neutral,negative,False
this product kills ants as advertised i don t want the carpenter ants in my house i m not sure about the other insects but who likes them either,positive,negative,negative,False
i used to love the homestyle pop secret they have changed the recipe and it no longer tastes the same it is not buttery now it is just salty and greasy they used to say contains land o lakes butter now it says salt and buttery taste not as good,negative,neutral,negative,True
if this is what good coffee is supposed to taste like no thanks to me it s weak and pretty much flavorless safeway and winco store brands in my opinion are much better,negative,neutral,negative,True
peacock brown rice vermicelli ounce pack at first i didn t know what vermicelli was let alone how to cook and serve it mother always said there would be days like this there are probably millions of ways to prepare vermicelli but i like to keep things simple especially since this would be my first time with vermicelli so for this review i took out a large pot added an envelope of dry soup mix lipton recipe secrets savory herb with garlic cups of water lots of my favorite spices a bit of salt a tablespoon of real butter and a can of drained mixed vegetables brought the mixture to a boil lowered temp to medium drained the water from the soaking the instructions on the package suggest one soak peacock brown rice vermicelli for a minute in water that is room temp vermicelli and added it to the pot gave the mixture a couple of stirs with a wooden spoon and in about minutes that s all the time it took all was done smelling good and ready to serve i presented this wonderful little dinner with oven toasted garlic bread a few large pitted black olives a variety of cheese wedges and wine of choice fast and easy the brown rice vermicelli did not stick clump together or become gluey either cooking or after being served the color of the cooked product was aesthetically pleasing especially with the colorful mixed vegetables and will probably look appetizing served on most any color or patterned dinnerware peacock brown rice vermicelli was a huge hit at my home everyone wanted seconds bon app eacute tit nuf said highly recommended katharena eiermann,positive,neutral,positive,True
